类型,名称,RSS
焦点,国内,http://news.baidu.com/n?cmd=1&class=civilnews&tn=rss
焦点,台湾,http://news.baidu.com/n?cmd=1&class=taiwan&tn=rss
焦点,港澳,http://news.baidu.com/n?cmd=1&class=gangaotai&tn=rss
焦点,国际,http://news.baidu.com/n?cmd=1&class=internews&tn=rss
焦点,环球视野,http://news.baidu.com/n?cmd=1&class=hqsy&tn=rss
焦点,国际人物,http://news.baidu.com/n?cmd=1&class=renwu&tn=rss
焦点,军事,http://news.baidu.com/n?cmd=1&class=mil&tn=rss
焦点,中国军情,http://news.baidu.com/n?cmd=1&class=zhongguojq&tn=rss
焦点,台海聚焦,http://news.baidu.com/n?cmd=1&class=taihaijj&tn=rss
焦点,国际军情,http://news.baidu.com/n?cmd=1&class=guojijq&tn=rss
焦点,财经,http://news.baidu.com/n?cmd=1&class=finannews&tn=rss
焦点,股票,http://news.baidu.com/n?cmd=1&class=stock&tn=rss
焦点,理财,http://news.baidu.com/n?cmd=1&class=money&tn=rss
焦点,宏观经济,http://news.baidu.com/n?cmd=1&class=hongguan&tn=rss
焦点,产业经济,http://news.baidu.com/n?cmd=1&class=chanye&tn=rss
焦点,互联网,http://news.baidu.com/n?cmd=1&class=internet&tn=rss
焦点,人物动态,http://news.baidu.com/n?cmd=1&class=rwdt&tn=rss
焦点,公司动态,http://news.baidu.com/n?cmd=1&class=gsdt&tn=rss
焦点,搜索引擎,http://news.baidu.com/n?cmd=1&class=search_engine&tn=rss
焦点,电子商务,http://news.baidu.com/n?cmd=1&class=e_commerce&tn=rss
焦点,网络游戏,http://news.baidu.com/n?cmd=1&class=online_game&tn=rss
焦点,房产,http://news.baidu.com/n?cmd=1&class=housenews&tn=rss
焦点,各地动态,http://news.baidu.com/n?cmd=1&class=gddt&tn=rss
焦点,政策风向,http://news.baidu.com/n?cmd=1&class=zcfx&tn=rss
焦点,市场走势,http://news.baidu.com/n?cmd=1&class=shichangzoushi&tn=rss
焦点,家居,http://news.baidu.com/n?cmd=1&class=fitment&tn=rss
